Row Labels,2005,Max of Production
Apple,4005,0
Tamil Nadu,4005,0
Arcanut (Processed),12012,40216
Karnataka,12012,40216
Arecanut,1008693,538587
Andaman and Nicobar Islands,14032,5200
Andhra Pradesh,20065,379
Assam,272651,7728
Goa,4027,2458
Karnataka,198671,538587
Kerala,166502,43474
Meghalaya,70151,10308
Puducherry,4006,130
Tamil Nadu,126440,7076
West Bengal,132148,6289
Arhar/Tur,4474641,302817
Andhra Pradesh,200626,60198
Assam,268788,1614
Bihar,429349,14905
Chandigarh,1999,80
Chhattisgarh,170698,7693
Dadra and Nagar Haveli,14060,1496
Gujarat,192417,85800
Haryana,180429,11900
Himachal Pradesh,22033,312
Jharkhand,68211,7772.4
Karnataka,266846,302817
Kerala,4027,1325
Madhya Pradesh,433130,49776
Maharashtra,346984,129100
Manipur,2003,20
Meghalaya,34122,781
Mizoram,14012,102
Nagaland,76259,3670
Odisha,125994,17140
Punjab,142352,8000
Rajasthan,228388,7774
Tamil Nadu,242709,11044
Telangana ,138407,54637
Tripura,40205,402
Uttar Pradesh,619874,42383
Uttarakhand,104423,821
West Bengal,106296,2380
Ash Gourd,36047,0
Tamil Nadu,36047,0
Atcanut (Raw),10010,97930
Karnataka,10010,97930
Bajra,3308470,826816
Andhra Pradesh,170539,59344
Bihar,108214,1823
Chhattisgarh,40146,63
Gujarat,372949,174400
Haryana,188437,326000
Himachal Pradesh,42073,241
Jammu and Kashmir ,30057,8670
Karnataka,192500,97196
Madhya Pradesh,308817,237853
Maharashtra,240691,403300
Nagaland,86295,1430
Odisha,50041,560
Puducherry,16058,470
Punjab,26068,3000
Rajasthan,314587,826816
Tamil Nadu,280741,75916
Telangana ,96268,6600
Uttar Pradesh,703881,230225
Uttarakhand,14037,48
West Bengal,26071,113
Banana,1999533,847531
Andaman and Nicobar Islands,6005,1763
Andhra Pradesh,98280,518880
Assam,337076,77222
Bihar,142149,56979
Chhattisgarh,166589,7080
Dadra and Nagar Haveli,4002,300
Goa,4028,14754
Gujarat,76149,746900
Haryana,6007,0
Karnataka,194534,373090
Kerala,148375,100284
Madhya Pradesh,132468,605427
Maharashtra,22033,351750
Manipur,58054,18390
Meghalaya,76200,27159
Puducherry,30121,10617
Rajasthan,26053,0
Tamil Nadu,272553,847531
Telangana ,54182,24058
Uttar Pradesh,144675,33981
Barley,2619182,152963
Bihar,359014,3235
Chhattisgarh,70290,2540
Haryana,196447,35000
Himachal Pradesh,66129,7487
Jammu and Kashmir ,48126,2077
Jharkhand,2003,36.76
Madhya Pradesh,375086,25346
Nagaland,60270,1200
Punjab,100219,27000
Rajasthan,266429,152963
Sikkim,42119,670
Uttar Pradesh,810272,78853
Uttarakhand,144545,6426
West Bengal,78233,2400
Bean,8054,470
Nagaland,8054,470
Beans & Mutter(Vegetable),100120,23457
Andhra Pradesh,12013,2212
Jammu and Kashmir ,4004,151
Karnataka,20023,23457
Madhya Pradesh,28036,0
Manipur,6006,547
Tamil Nadu,16021,0
Telangana ,14017,8724
Beet Root,12016,0
Tamil Nadu,12016,0
Ber,6009,0
Tamil Nadu,6009,0
Bhindi,160200,51451
Andhra Pradesh,12017,51451
Kerala,8008,0
Madhya Pradesh,74091,0
Manipur,14017,799
Tamil Nadu,38049,6157
Telangana ,14018,3100
Bitter Gourd,48060,64
Kerala,12014,0
Manipur,10014,64
Tamil Nadu,26032,0
Black pepper,543923,66531
Andaman and Nicobar Islands,18053,191.14
Assam,116611,865
Goa,2007,119
Karnataka,132410,66531
Kerala,140354,35299
Meghalaya,44220,214
Puducherry,12025,8
Tamil Nadu,78243,470
Blackgram,78289,3092
Assam,18072,1556
